hosts: trn1-a, trn1-b, trn1-c

group    workload                   unit                         median  within cv  between cv  passed
300x3    all_reduce                 GB/s                              -          -           -  0/3
300x3    allocation_fragmentation   allocation-events/s            2397     0.0876      0.0692  3/3
300x3    baseline_metrics           -                                 -          -           -  3/3
300x3    fused_attention            attention-tiles/s              6048     0.0004      0.0003  3/3
300x3    graph_replay               graph-steps/s                  3038     0.0039      0.0014  3/3
300x3    int_virus                  TOPS                          78.84     0.0001      0.0001  3/3
300x3    kv_cache_churn             cache-updates/s           9.735e+04     0.0005      0.0005  3/3
300x3    llm_decode                 tokens/s                      17.54     0.0001      0.0002  3/3
300x3    llm_prefill                prompt-tokens/s                3812     0.0002      0.0002  3/3
300x3    memory_read                GB/s                            273     0.0006      0.0002  3/3
300x3    memory_read_agg            GB/s                          543.7     0.0001      0.0000  3/3
300x3    memory_write               GB/s                          274.8     0.0024      0.0017  3/3
300x3    memory_write_agg           GB/s                          537.2     0.0003      0.0002  3/3
300x3    moe_router                 routed-tokens/s           2.552e+05     0.0007      0.0005  3/3
300x3    omni_virus                 TFLOPS                        54.01     0.0001      0.0006  3/3
300x3    p2p_thrasher               GB/s                              -          -           -  0/3
300x3    pcie_bandwidth             GB/s                          3.678     0.0206      0.0254  3/3
300x3    pulse_virus                TFLOPS                        39.94     0.0004      0.0003  3/3
300x3    quantized_gemm             quantized-ops/s           1.845e+13     0.0003      0.0002  3/3
300x3    rag_embedding              embedding-vectors/s           854.5     0.0001      0.0000  3/3
300x3    serving_mix                requests/s                    2.481     0.0004      0.0000  3/3
300x3    speculative_decode         verified-tokens/s              73.8     0.0002      0.0001  3/3
300x3    tensor_virus               TFLOPS                         78.6     0.0004      0.0002  3/3
300x3    transformer_train_step     train-steps/s                 3.647     0.0000      0.0000  3/3
300x3    transformer_virus          TFLOPS                        53.25     0.0001      0.0001  3/3
300x3    vision_encoder             image-tiles/s             5.816e+04     0.0000      0.0000  3/3
3600     memory_read                GB/s                          273.1          -      0.0008  3/3
3600     memory_read_agg            GB/s                              -          -           -  0/3
3600     memory_write               GB/s                          274.9          -      0.0012  3/3
3600     memory_write_agg           GB/s                              -          -           -  0/3
3600     pcie_bandwidth             GB/s                           3.52          -      0.0863  3/3
3600     transformer_virus          TFLOPS                        53.19          -      0.0038  3/3
3600-fixed memory_read_agg            GB/s                          543.5          -           -  1/1
3600-fixed memory_write_agg           GB/s                          536.8          -           -  1/1
sweep    memory_read bytes=1GiB     GB/s                          273.1     0.0000           -  1/1
sweep    memory_read bytes=2GiB     GB/s                          272.8     0.0001           -  1/1
sweep    memory_read bytes=4GiB     GB/s                          272.8     0.0005           -  1/1
sweep    memory_read bytes=8GiB     GB/s                            273     0.0001           -  1/1
sweep    memory_read bytes=12GiB    GB/s                            273     0.0004           -  1/1
sweep    memory_write bytes=1GiB    GB/s                          272.7     0.0076           -  1/1
sweep    memory_write bytes=2GiB    GB/s                          273.7     0.0029           -  1/1
sweep    memory_write bytes=4GiB    GB/s                          275.2     0.0012           -  1/1
sweep    memory_write bytes=8GiB    GB/s                              -          -           -  0/1
sweep    memory_write bytes=12GiB   GB/s                              -          -           -  0/1
